
Host: beboplogin3

Timers On : Fri Oct 13 09:49:31 2023
Timers Off: Fri Oct 13 09:55:35 2023

Wall Time:      363.58 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| DFMP2 T2                          :      0.033u      0.000s      0.002w     21 calls
| DFMP2 G                           :      0.033u      0.000s      0.003w     21 calls
| DFMP2 Pab                         :      0.050u      0.000s      0.002w     21 calls
| DFMP2 Gia Write                   :      0.050u      0.000s      0.005w     21 calls
DFMP2 Tab                           :      1.200u      0.117s      0.063w     21 calls
| DFMP2 Bai Read                    :      0.033u      0.000s      0.001w     21 calls
| DFMP2 Qai Read                    :      0.000u      0.000s      0.001w     21 calls
| DFMP2 I                           :      0.017u      0.017s      0.003w     21 calls
| DFMP2 T2                          :      0.350u      0.000s      0.016w     21 calls
| DFMP2 Pij                         :      0.150u      0.000s      0.004w     21 calls
DFMP2 gamma                         :      0.750u      0.083s      0.044w     21 calls
| DFMP2 Gia Read                    :      0.000u      0.000s      0.001w     21 calls
| DFMP2 Cia Read                    :      0.050u      0.000s      0.001w     21 calls
| DFMP2 g                           :      0.017u      0.000s      0.003w     21 calls
DFMP2 Gia                           :      1.317u      0.233s      0.078w     21 calls
| DFMP2 Gia Read                    :      0.067u      0.000s      0.001w     21 calls
| DFMP2 aiG Write                   :      0.200u      0.033s      0.015w     21 calls
DFMP2 AB^x                          :      2.533u      0.200s      0.175w     21 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.001w     21 calls
DFMP2 Amn^x                         :     28.667u      1.833s      1.601w     21 calls
| Libint2ERI::Libint2ERI            :     23.283u      1.467s      1.242w    252 calls
DFMP2 L                             :     29.333u      2.533s      1.655w     21 calls
| Libint2ERI::Libint2ERI            :     25.483u      2.167s      1.435w    252 calls
DFMP2 P                             :      0.533u      0.083s      0.033w     21 calls
DFMP2 W                             :      0.600u      0.033s      0.033w     21 calls
DFMP2 Z                             :     20.200u      1.517s      1.085w     21 calls
| DFH: sparsity prep                :      4.183u      0.283s      0.222w     21 calls
| | Libint2ERI::Libint2ERI          :      2.250u      0.183s      0.119w     21 calls
| DFH: initialize()                 :      9.867u      0.800s      0.535w     21 calls
| | Libint2ERI::Libint2ERI          :      1.500u      0.100s      0.081w    273 calls
| | DFH: AO Construction            :      0.917u      0.067s      0.046w     21 calls
| | DFH: AO-Met. Contraction        :      0.300u      0.017s      0.017w     21 calls
| JK: D                             :      0.100u      0.017s      0.005w    230 calls
| JK: USO2AO                        :      0.050u      0.000s      0.003w    230 calls
| JK: JK                            :      2.567u      0.167s      0.137w    230 calls
| | DFH: compute_JK()               :      2.483u      0.167s      0.132w    230 calls
| | | DFH: Grabbing AOs             :      0.067u      0.000s      0.002w    230 calls
| | | DFH: compute_J                :      0.300u      0.017s      0.021w    230 calls
| | | DFH: compute_K                :      1.117u      0.083s      0.059w    230 calls
| JK: AO2USO                        :      0.033u      0.000s      0.002w    230 calls
DFMP2 grad                          :     61.733u      3.883s      3.288w     21 calls
| Grad: V T Perturb                 :      2.033u      0.100s      0.107w     21 calls
| Grad: S                           :      0.850u      0.000s      0.046w     21 calls
| Grad: JK                          :     57.000u      3.517s      3.025w     21 calls
| | CorrGrad: Amn                   :     23.500u      1.433s      1.248w     21 calls
| | | Libint2ERI::Libint2ERI        :     19.833u      1.117s      1.054w    252 calls
| | CorrGrad: AB                    :      4.233u      0.217s      0.221w     21 calls
| | | Libint2ERI::Libint2ERI        :      0.150u      0.017s      0.009w    252 calls
| | CorrGrad: UV                    :      0.117u      0.017s      0.010w     21 calls
| | CorrGrad: ABx                   :      1.283u      0.117s      0.067w     21 calls
| | | Libint2ERI::Libint2ERI        :      0.017u      0.000s      0.001w     21 calls
| | CorrGrad: Amnx                  :     26.067u      1.417s      1.375w     21 calls
| | | Libint2ERI::Libint2ERI        :     21.633u      1.317s      1.148w    252 calls
Total PK formation time             :    108.817u      7.900s      7.905w     31 calls
| Libint2ERI::Libint2ERI            :     44.800u      5.333s      4.511w    403 calls
Libint2ERI::Libint2ERI              :      9.867u      0.600s      0.540w     53 calls
ccenergy                            :    761.867u     84.867s     42.602w     31 calls
| F build                           :     44.750u      3.817s      2.426w    282 calls
| Wmbej build                       :     77.033u      7.633s      4.233w    282 calls
| | C->Wmbej                        :      5.083u      0.650s      0.286w    282 calls
| | F->Wmbej                        :     44.483u      4.850s      2.472w    282 calls
| | E->Wmbej                        :     12.933u      1.183s      0.705w    282 calls
| | X->Wmbej                        :     11.567u      0.683s      0.607w    282 calls
| Z                                 :      9.000u      1.067s      0.506w    282 calls
| T2 Build                          :    259.250u     28.567s     14.392w    282 calls
| | BT2                             :    148.817u     17.383s      8.310w    282 calls
| | | ABCD:new                      :    148.750u     17.383s      8.306w    282 calls
| | | | ABCD:S                      :     37.383u      4.333s      2.088w    282 calls
| | | | ABCD:A                      :     33.000u      3.600s      1.830w    282 calls
| | | | ABCD:axpy                   :     70.083u      8.417s      3.925w    282 calls
| | FT2                             :     14.550u      1.933s      0.827w    282 calls
| | WmbejT2                         :     24.917u      2.867s      1.386w    282 calls
| | CT2                             :     34.867u      3.533s      1.926w    282 calls
cchbar                              :     94.867u     11.600s      5.346w     22 calls
cclambda                            :    294.667u     31.967s     16.366w     22 calls
| ABCD:new                          :    112.133u     13.250s      6.270w    219 calls
| | ABCD:S                          :     28.217u      2.850s      1.564w    219 calls
| | ABCD:A                          :     24.533u      2.933s      1.370w    219 calls
| | ABCD:axpy                       :     53.217u      6.717s      2.989w    219 calls
ccdensity                           :    642.900u     85.083s     47.738w     22 calls

**************************************************************************************

Host: beboplogin3

Timers On : Fri Oct 13 10:54:33 2023
Timers Off: Fri Oct 13 10:54:34 2023

Wall Time:        1.62 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: beboplogin3

Timers On : Fri Oct 13 10:54:21 2023
Timers Off: Fri Oct 13 11:45:25 2023

Wall Time:     3063.91 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :   1915.317u    150.250s    142.531w    547 calls
Libint2ERI::Libint2ERI              :    948.783u    130.433s     92.937w   7658 calls
HF: Form core H                     :    204.167u     26.617s     11.611w    547 calls
HF: Form S/X                        :     10.000u      0.683s      0.544w    547 calls
HF: Guess                           :    936.050u     86.517s     51.316w    547 calls
SAD Guess                           :    911.700u     85.217s     50.030w    547 calls
HF: Form G                          :    513.217u     29.117s     27.184w   7163 calls
JK: D                               :      3.667u      0.400s      0.195w   7163 calls
JK: USO2AO                          :      1.150u      0.150s      0.062w   7163 calls
JK: JK                              :    496.350u     27.167s     26.236w   7163 calls
PK computes JK                      :    493.650u     26.867s     26.100w   7163 calls
JK: AO2USO                          :      0.883u      0.083s      0.047w   7163 calls
HF: Form F                          :      4.317u      0.233s      0.213w   7163 calls
HF: Form D                          :      2.867u      0.250s      0.161w   7163 calls
HF: DIIS                            :    539.350u     33.267s     28.718w   6616 calls
HF: Form C                          :    132.500u      6.367s      6.938w   6616 calls
ccenergy                            :  16908.617u   1834.200s    944.496w    547 calls
F build                             :    999.167u     79.817s     53.996w   6634 calls
Wmbej build                         :   1747.267u    169.817s     96.079w   6634 calls
C->Wmbej                            :    107.733u     12.917s      6.060w   6634 calls
F->Wmbej                            :   1010.933u    108.283s     56.021w   6634 calls
E->Wmbej                            :    292.300u     27.283s     16.065w   6634 calls
X->Wmbej                            :    269.067u     14.383s     14.203w   6634 calls
Z                                   :    212.383u     28.333s     12.073w   6634 calls
T2 Build                            :   6091.717u    659.617s    338.076w   6634 calls
BT2                                 :   3523.050u    401.867s    196.501w   6634 calls
ABCD:new                            :   3520.950u    401.617s    196.398w   6634 calls
ABCD:S                              :    907.217u    101.150s     50.508w   6634 calls
ABCD:A                              :    796.867u     86.950s     44.227w   6634 calls
ABCD:axpy                           :   1626.433u    193.033s     91.084w   6634 calls
FT2                                 :    349.550u     42.500s     19.742w   6634 calls
WmbejT2                             :    579.433u     62.183s     32.134w   6634 calls
CT2                                 :    815.783u     82.017s     44.996w   6634 calls
cctriples                           :   1255.283u    140.583s     70.294w    547 calls
ET_RHF                              :    780.400u     78.883s     42.987w    547 calls

--------------------------------------------------------------------------------------
Total PK formation time             :   1915.317u    150.250s    142.531w    547 calls
| Libint2ERI::Libint2ERI            :    838.767u    120.317s     86.944w   7111 calls
HF: Form core H                     :    204.167u     26.617s     11.611w    547 calls
HF: Form S/X                        :     10.000u      0.683s      0.544w    547 calls
HF: Guess                           :    936.050u     86.517s     51.316w    547 calls
| SAD Guess                         :    911.700u     85.217s     50.030w    547 calls
HF: Form G                          :    513.217u     29.117s     27.184w   7163 calls
| JK: D                             :      3.667u      0.400s      0.195w   7163 calls
| JK: USO2AO                        :      1.150u      0.150s      0.062w   7163 calls
| JK: JK                            :    496.350u     27.167s     26.236w   7163 calls
| | PK computes JK                  :    493.650u     26.867s     26.100w   7163 calls
| JK: AO2USO                        :      0.883u      0.083s      0.047w   7163 calls
HF: Form F                          :      4.317u      0.233s      0.213w   7163 calls
HF: Form D                          :      2.867u      0.250s      0.161w   7163 calls
HF: DIIS                            :    539.350u     33.267s     28.718w   6616 calls
HF: Form C                          :    132.500u      6.367s      6.938w   6616 calls
Libint2ERI::Libint2ERI              :    110.017u     10.117s      5.993w    547 calls
ccenergy                            :  16908.617u   1834.200s    944.496w    547 calls
| F build                           :    999.167u     79.817s     53.996w   6634 calls
| Wmbej build                       :   1747.267u    169.817s     96.079w   6634 calls
| | C->Wmbej                        :    107.733u     12.917s      6.060w   6634 calls
| | F->Wmbej                        :   1010.933u    108.283s     56.021w   6634 calls
| | E->Wmbej                        :    292.300u     27.283s     16.065w   6634 calls
| | X->Wmbej                        :    269.067u     14.383s     14.203w   6634 calls
| Z                                 :    212.383u     28.333s     12.073w   6634 calls
| T2 Build                          :   6091.717u    659.617s    338.076w   6634 calls
| | BT2                             :   3523.050u    401.867s    196.501w   6634 calls
| | | ABCD:new                      :   3520.950u    401.617s    196.398w   6634 calls
| | | | ABCD:S                      :    907.217u    101.150s     50.508w   6634 calls
| | | | ABCD:A                      :    796.867u     86.950s     44.227w   6634 calls
| | | | ABCD:axpy                   :   1626.433u    193.033s     91.084w   6634 calls
| | FT2                             :    349.550u     42.500s     19.742w   6634 calls
| | WmbejT2                         :    579.433u     62.183s     32.134w   6634 calls
| | CT2                             :    815.783u     82.017s     44.996w   6634 calls
cctriples                           :   1255.283u    140.583s     70.294w    547 calls
| ET_RHF                            :    780.400u     78.883s     42.987w    547 calls

**************************************************************************************

Host: beboplogin2

Timers On : Fri Oct 13 11:52:14 2023
Timers Off: Fri Oct 13 11:54:34 2023

Wall Time:      140.05 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     78.883u      4.150s      4.159w    129 calls
build grid                          :     37.667u      1.917s      1.981w    129 calls
post-process grid                   :     40.700u      2.183s      2.158w    129 calls
DFH: sparsity prep                  :     28.950u      1.583s      1.812w    129 calls
Libint2ERI::Libint2ERI              :     62.667u      3.433s      3.588w   3621 calls
DFH: initialize()                   :     60.800u      3.733s      3.247w    129 calls
DFH: AO Construction                :      5.550u      0.117s      0.287w    129 calls
DFH: AO-Met. Contraction            :      2.250u      0.067s      0.116w    129 calls
HF: Form core H                     :     14.017u      0.950s      0.745w    129 calls
HF: Form S/X                        :      2.267u      0.100s      0.120w    129 calls
HF: Guess                           :    173.033u     10.617s      9.187w    129 calls
SAD Guess                           :    167.233u     10.317s      8.881w    129 calls
HF: Form G                          :    542.267u      4.917s     27.477w   1209 calls
RV: Form V                          :    529.117u      4.067s     26.781w   1209 calls
Properties                          :     84.073p                         735585 calls
Functional                          :    111.462p                         735585 calls
V_xc                                :    156.873p                         668656 calls
JK: D                               :      0.783u      0.067s      0.032w   1209 calls
JK: USO2AO                          :      0.300u      0.000s      0.012w   1209 calls
JK: JK                              :      9.250u      0.633s      0.485w   1209 calls
DFH: compute_JK()                   :      8.800u      0.583s      0.453w   1209 calls
DFH: Grabbing AOs                   :      0.300u      0.050s      0.008w   1209 calls
DFH: compute_J                      :      3.117u      0.250s      0.155w   1209 calls
DFH: compute_K                      :      3.183u      0.100s      0.171w   1209 calls
JK: AO2USO                          :      0.100u      0.017s      0.008w   1209 calls
HF: Form F                          :      0.533u      0.033s      0.036w   1209 calls
HF: Form D                          :      0.483u      0.050s      0.028w   1209 calls
HF: DIIS                            :     97.417u      6.300s      5.172w   1080 calls
HF: Form C                          :     22.667u      1.117s      1.173w   1080 calls
Grad: V T Perturb                   :     10.733u      0.617s      0.560w    121 calls
Grad: S                             :      5.200u      0.150s      0.270w    121 calls
Grad: JK                            :    195.300u     11.283s     10.490w    121 calls
JKGrad: Amn                         :     68.800u      3.867s      3.645w    121 calls
JKGrad: Awmn                        :      0.017u      0.000s      0.001w    121 calls
JKGrad: AB                          :     22.150u      1.350s      1.164w    121 calls
JKGrad: UV                          :      0.433u      0.083s      0.028w    121 calls
JKGrad: ABx                         :      8.183u      0.383s      0.458w    121 calls
JKGrad: Amnx                        :     86.050u      4.167s      4.637w    121 calls
Grad: XC                            :    114.183u      1.467s      5.783w    121 calls
V_xc gradient                       :     17.124p                          66929 calls

--------------------------------------------------------------------------------------
V: Grid                             :     78.883u      4.150s      4.159w    129 calls
| build grid                        :     37.667u      1.917s      1.981w    129 calls
| post-process grid                 :     40.700u      2.183s      2.158w    129 calls
DFH: sparsity prep                  :     28.950u      1.583s      1.812w    129 calls
| Libint2ERI::Libint2ERI            :     18.250u      0.983s      1.234w    129 calls
DFH: initialize()                   :     60.800u      3.733s      3.247w    129 calls
| Libint2ERI::Libint2ERI            :     13.800u      0.800s      0.735w   1677 calls
| DFH: AO Construction              :      5.550u      0.117s      0.287w    129 calls
| DFH: AO-Met. Contraction          :      2.250u      0.067s      0.116w    129 calls
HF: Form core H                     :     14.017u      0.950s      0.745w    129 calls
HF: Form S/X                        :      2.267u      0.100s      0.120w    129 calls
HF: Guess                           :    173.033u     10.617s      9.187w    129 calls
| SAD Guess                         :    167.233u     10.317s      8.881w    129 calls
HF: Form G                          :    542.267u      4.917s     27.477w   1209 calls
| RV: Form V                        :    529.117u      4.067s     26.781w   1209 calls
| | Properties                      :     53.615p                         668656 calls
| | Functional                      :    102.369p                         668656 calls
| | V_xc                            :    156.873p                         668656 calls
| JK: D                             :      0.783u      0.067s      0.032w   1209 calls
| JK: USO2AO                        :      0.300u      0.000s      0.012w   1209 calls
| JK: JK                            :      9.250u      0.633s      0.485w   1209 calls
| | DFH: compute_JK()               :      8.800u      0.583s      0.453w   1209 calls
| | | DFH: Grabbing AOs             :      0.300u      0.050s      0.008w   1209 calls
| | | DFH: compute_J                :      3.117u      0.250s      0.155w   1209 calls
| | | DFH: compute_K                :      3.183u      0.100s      0.171w   1209 calls
| JK: AO2USO                        :      0.100u      0.017s      0.008w   1209 calls
HF: Form F                          :      0.533u      0.033s      0.036w   1209 calls
HF: Form D                          :      0.483u      0.050s      0.028w   1209 calls
HF: DIIS                            :     97.417u      6.300s      5.172w   1080 calls
HF: Form C                          :     22.667u      1.117s      1.173w   1080 calls
Grad: V T Perturb                   :     10.733u      0.617s      0.560w    121 calls
Grad: S                             :      5.200u      0.150s      0.270w    121 calls
Grad: JK                            :    195.300u     11.283s     10.490w    121 calls
| JKGrad: Amn                       :     68.800u      3.867s      3.645w    121 calls
| | Libint2ERI::Libint2ERI          :     14.333u      0.717s      0.753w    121 calls
| JKGrad: Awmn                      :      0.017u      0.000s      0.001w    121 calls
| JKGrad: AB                        :     22.150u      1.350s      1.164w    121 calls
| | Libint2ERI::Libint2ERI          :      1.133u      0.117s      0.055w   1452 calls
| JKGrad: UV                        :      0.433u      0.083s      0.028w    121 calls
| JKGrad: ABx                       :      8.183u      0.383s      0.458w    121 calls
| | Libint2ERI::Libint2ERI          :      0.083u      0.017s      0.006w    121 calls
| JKGrad: Amnx                      :     86.050u      4.167s      4.637w    121 calls
| | Libint2ERI::Libint2ERI          :     15.067u      0.800s      0.805w    121 calls
Grad: XC                            :    114.183u      1.467s      5.783w    121 calls
| Properties                        :     30.458p                          66929 calls
| Functional                        :      9.094p                          66929 calls
| V_xc gradient                     :     17.124p                          66929 calls

**************************************************************************************

Host: beboplogin2

Timers On : Fri Oct 13 11:54:45 2023
Timers Off: Fri Oct 13 11:55:18 2023

Wall Time:       32.66 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: beboplogin2

Timers On : Fri Oct 13 11:55:28 2023
Timers Off: Fri Oct 13 11:55:30 2023

Wall Time:        1.60 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: beboplogin2

Timers On : Fri Oct 13 11:55:24 2023
Timers Off: Fri Oct 13 12:00:32 2023

Wall Time:      307.63 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     80.367u      4.233s      4.235w    129 calls
build grid                          :     39.650u      1.850s      2.086w    129 calls
post-process grid                   :     40.267u      2.333s      2.129w    129 calls
DFH: sparsity prep                  :     28.633u      1.683s      1.725w    129 calls
Libint2ERI::Libint2ERI              :     62.133u      3.900s      3.462w   3621 calls
DFH: initialize()                   :    121.350u      8.650s      6.532w    129 calls
Libint2ErfERI::Libint2ErfERI        :    221.683u     12.833s     11.728w   1702 calls
DFH: AO Construction                :      5.683u      0.133s      0.287w    129 calls
DFH: AO-Met. Contraction            :      4.033u      0.150s      0.203w    258 calls
DFH: wAO Construction               :     15.900u      0.350s      0.823w    129 calls
DFH: wAO Copy                       :      2.183u      0.050s      0.114w    129 calls
HF: Form core H                     :     13.767u      0.933s      0.734w    129 calls
HF: Form S/X                        :      2.267u      0.100s      0.118w    129 calls
HF: Guess                           :    172.100u     10.400s      9.131w    129 calls
SAD Guess                           :    166.567u     10.133s      8.831w    129 calls
HF: Form G                          :    573.183u      5.617s     28.965w   1283 calls
RV: Form V                          :    548.767u      4.017s     27.660w   1283 calls
Properties                          :     87.817p                         777109 calls
Functional                          :    105.966p                         777109 calls
V_xc                                :    167.927p                         710142 calls
JK: D                               :      0.733u      0.050s      0.033w   1283 calls
JK: USO2AO                          :      0.233u      0.017s      0.014w   1283 calls
JK: JK                              :     20.200u      1.367s      1.087w   1283 calls
DFH: compute_JK()                   :      8.983u      0.833s      0.468w   1283 calls
DFH: Grabbing AOs                   :      0.283u      0.017s      0.009w   1283 calls
DFH: compute_J                      :      2.733u      0.283s      0.152w   1283 calls
DFH: compute_K                      :      3.417u      0.283s      0.179w   1283 calls
DFH: compute_wK()                   :     10.167u      0.483s      0.557w   1283 calls
JK: AO2USO                          :      0.267u      0.000s      0.009w   1283 calls
HF: Form F                          :      0.867u      0.033s      0.038w   1283 calls
HF: Form D                          :      0.400u      0.017s      0.030w   1283 calls
HF: DIIS                            :    101.283u      6.850s      5.379w   1154 calls
HF: Form C                          :     23.533u      0.983s      1.249w   1154 calls
Grad: V T Perturb                   :     10.383u      0.617s      0.545w    121 calls
Grad: S                             :      4.917u      0.250s      0.262w    121 calls
Grad: JK                            :    579.617u     43.917s     31.318w    121 calls
JKGrad: Amn                         :     70.233u      4.400s      3.730w    121 calls
JKGrad: Awmn                        :    218.300u     11.600s     11.502w    121 calls
JKGrad: AB                          :     23.967u      1.567s      1.268w    121 calls
JKGrad: UV                          :      0.867u      0.200s      0.054w    121 calls
JKGrad: ABx                         :      8.450u      0.300s      0.473w    121 calls
JKGrad: Amnx                        :    238.000u     22.967s     13.144w    121 calls
Grad: XC                            :    113.167u      1.583s      5.738w    121 calls
V_xc gradient                       :     17.185p                          66967 calls

--------------------------------------------------------------------------------------
V: Grid                             :     80.367u      4.233s      4.235w    129 calls
| build grid                        :     39.650u      1.850s      2.086w    129 calls
| post-process grid                 :     40.267u      2.333s      2.129w    129 calls
DFH: sparsity prep                  :     28.633u      1.683s      1.725w    129 calls
| Libint2ERI::Libint2ERI            :     18.200u      1.200s      1.154w    129 calls
DFH: initialize()                   :    121.350u      8.650s      6.532w    129 calls
| Libint2ERI::Libint2ERI            :     13.983u      0.833s      0.730w   1677 calls
| Libint2ErfERI::Libint2ErfERI      :     14.800u      0.867s      0.786w    129 calls
| DFH: AO Construction              :      5.683u      0.133s      0.287w    129 calls
| DFH: AO-Met. Contraction          :      4.033u      0.150s      0.203w    258 calls
| DFH: wAO Construction             :     15.900u      0.350s      0.823w    129 calls
| DFH: wAO Copy                     :      2.183u      0.050s      0.114w    129 calls
HF: Form core H                     :     13.767u      0.933s      0.734w    129 calls
HF: Form S/X                        :      2.267u      0.100s      0.118w    129 calls
HF: Guess                           :    172.100u     10.400s      9.131w    129 calls
| SAD Guess                         :    166.567u     10.133s      8.831w    129 calls
HF: Form G                          :    573.183u      5.617s     28.965w   1283 calls
| RV: Form V                        :    548.767u      4.017s     27.660w   1283 calls
| | Properties                      :     57.178p                         710142 calls
| | Functional                      :     97.713p                         710142 calls
| | V_xc                            :    167.927p                         710142 calls
| JK: D                             :      0.733u      0.050s      0.033w   1283 calls
| JK: USO2AO                        :      0.233u      0.017s      0.014w   1283 calls
| JK: JK                            :     20.200u      1.367s      1.087w   1283 calls
| | DFH: compute_JK()               :      8.983u      0.833s      0.468w   1283 calls
| | | DFH: Grabbing AOs             :      0.283u      0.017s      0.009w   1283 calls
| | | DFH: compute_J                :      2.733u      0.283s      0.152w   1283 calls
| | | DFH: compute_K                :      3.417u      0.283s      0.179w   1283 calls
| | DFH: compute_wK()               :     10.167u      0.483s      0.557w   1283 calls
| JK: AO2USO                        :      0.267u      0.000s      0.009w   1283 calls
HF: Form F                          :      0.867u      0.033s      0.038w   1283 calls
HF: Form D                          :      0.400u      0.017s      0.030w   1283 calls
HF: DIIS                            :    101.283u      6.850s      5.379w   1154 calls
HF: Form C                          :     23.533u      0.983s      1.249w   1154 calls
Grad: V T Perturb                   :     10.383u      0.617s      0.545w    121 calls
Grad: S                             :      4.917u      0.250s      0.262w    121 calls
Grad: JK                            :    579.617u     43.917s     31.318w    121 calls
| JKGrad: Amn                       :     70.233u      4.400s      3.730w    121 calls
| | Libint2ERI::Libint2ERI          :     14.067u      0.800s      0.743w    121 calls
| JKGrad: Awmn                      :    218.300u     11.600s     11.502w    121 calls
| | Libint2ErfERI::Libint2ErfERI    :    190.583u     11.000s     10.076w   1452 calls
| JKGrad: AB                        :     23.967u      1.567s      1.268w    121 calls
| | Libint2ERI::Libint2ERI          :      1.033u      0.083s      0.055w   1452 calls
| JKGrad: UV                        :      0.867u      0.200s      0.054w    121 calls
| JKGrad: ABx                       :      8.450u      0.300s      0.473w    121 calls
| | Libint2ERI::Libint2ERI          :      0.150u      0.017s      0.006w    121 calls
| JKGrad: Amnx                      :    238.000u     22.967s     13.144w    121 calls
| | Libint2ERI::Libint2ERI          :     14.700u      0.967s      0.773w    121 calls
| | Libint2ErfERI::Libint2ErfERI    :     16.300u      0.967s      0.866w    121 calls
Grad: XC                            :    113.167u      1.583s      5.738w    121 calls
| Properties                        :     30.639p                          66967 calls
| Functional                        :      8.253p                          66967 calls
| V_xc gradient                     :     17.185p                          66967 calls

**************************************************************************************

Host: beboplogin2

Timers On : Fri Oct 13 12:00:44 2023
Timers Off: Fri Oct 13 12:00:45 2023

Wall Time:        1.42 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: beboplogin2

Timers On : Fri Oct 13 12:00:39 2023
Timers Off: Fri Oct 13 12:04:10 2023

Wall Time:      211.57 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.667u      0.100s      0.091w      2 calls
build grid                          :      1.017u      0.067s      0.056w      2 calls
post-process grid                   :      0.650u      0.033s      0.034w      2 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.667u      0.100s      0.091w      2 calls
| build grid                        :      1.017u      0.067s      0.056w      2 calls
| post-process grid                 :      0.650u      0.033s      0.034w      2 calls

**************************************************************************************

Host: beboplogin2

Timers On : Fri Oct 13 12:04:32 2023
Timers Off: Fri Oct 13 12:04:33 2023

Wall Time:        1.47 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: beboplogin2

Timers On : Fri Oct 13 12:04:23 2023
Timers Off: Fri Oct 13 12:27:22 2023

Wall Time:     1379.04 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :   1671.050u    170.533s     92.935w    863 calls
Libint2ERI::Libint2ERI              :   1471.333u    157.150s     82.294w  12082 calls
HF: Form core H                     :     98.683u      8.150s      5.381w    863 calls
HF: Form S/X                        :      4.233u      0.450s      0.226w    863 calls
HF: Guess                           :   1195.917u     96.800s     64.655w    863 calls
SAD Guess                           :   1157.300u     94.817s     62.630w    863 calls
HF: Form G                          :     51.917u      5.467s      2.834w  11371 calls
JK: D                               :      2.883u      0.150s      0.199w  11371 calls
JK: USO2AO                          :      1.917u      0.233s      0.097w  11371 calls
JK: JK                              :     34.167u      3.500s      1.860w  11371 calls
PK computes JK                      :     30.533u      3.183s      1.684w  11371 calls
JK: AO2USO                          :      1.467u      0.300s      0.079w  11371 calls
HF: Form F                          :      4.017u      0.350s      0.198w  11371 calls
HF: Form D                          :      2.217u      0.433s      0.134w  11371 calls
HF: DIIS                            :    799.817u     46.883s     42.415w  10508 calls
HF: Form C                          :     96.967u      8.400s      5.286w  10508 calls
ccenergy                            :  10014.450u   1235.250s    568.577w    863 calls
F build                             :    205.733u     19.150s     11.251w  10331 calls
Wmbej build                         :    460.817u     50.333s     25.469w  10331 calls
C->Wmbej                            :     22.050u      2.683s      1.247w  10331 calls
F->Wmbej                            :    258.833u     30.933s     14.446w  10331 calls
E->Wmbej                            :     65.167u      7.717s      3.669w  10331 calls
X->Wmbej                            :     92.117u      6.583s      4.914w  10331 calls
Z                                   :     26.900u      2.617s      1.513w  10331 calls
T2 Build                            :   1061.433u    109.283s     58.511w  10331 calls
BT2                                 :    464.900u     52.083s     25.835w  10331 calls
ABCD:new                            :    461.850u     51.850s     25.679w  10331 calls
ABCD:S                              :     26.267u      2.717s      1.468w  10331 calls
ABCD:A                              :     25.133u      2.867s      1.431w  10331 calls
ABCD:axpy                           :    356.433u     40.833s     19.853w  10331 calls
FT2                                 :     46.233u      5.217s      2.539w  10331 calls
WmbejT2                             :    145.500u     13.483s      7.989w  10331 calls
CT2                                 :    221.417u     21.300s     12.109w  10331 calls
cctriples                           :    715.267u     92.317s     40.797w    863 calls
ET_RHF                              :     65.300u      6.600s      3.583w    863 calls

--------------------------------------------------------------------------------------
Total PK formation time             :   1671.050u    170.533s     92.935w    863 calls
| Libint2ERI::Libint2ERI            :   1398.000u    152.883s     78.424w  11219 calls
HF: Form core H                     :     98.683u      8.150s      5.381w    863 calls
HF: Form S/X                        :      4.233u      0.450s      0.226w    863 calls
HF: Guess                           :   1195.917u     96.800s     64.655w    863 calls
| SAD Guess                         :   1157.300u     94.817s     62.630w    863 calls
HF: Form G                          :     51.917u      5.467s      2.834w  11371 calls
| JK: D                             :      2.883u      0.150s      0.199w  11371 calls
| JK: USO2AO                        :      1.917u      0.233s      0.097w  11371 calls
| JK: JK                            :     34.167u      3.500s      1.860w  11371 calls
| | PK computes JK                  :     30.533u      3.183s      1.684w  11371 calls
| JK: AO2USO                        :      1.467u      0.300s      0.079w  11371 calls
HF: Form F                          :      4.017u      0.350s      0.198w  11371 calls
HF: Form D                          :      2.217u      0.433s      0.134w  11371 calls
HF: DIIS                            :    799.817u     46.883s     42.415w  10508 calls
